ID,Q1_FindBooking,Q2_BookingProcess,Q3_Time,Q4_StepsInteractedWith,Q5_TipsClarity,Q6_TipsRelevance,Q7_Navigation,Q8_DataHandlingClarity,Q9_WorkedWell,Q10_Improvements
R001,Easy,Difficult,5-10 minutes,Selecting a service|Choosing a date/time|Entering details,Clear,Irrelevant,Difficult,Unclear,"The homepage made sense and the main call-to-action stood out, so I could start quickly. I liked the consistent colours and that buttons felt responsive on my phone.","Once in the flow, the calendar felt fiddly and I kept losing my place. Shorten the forms, add a simple progress bar, and explain briefly why each personal detail is needed."
R002,Difficult,Easy,2-5 minutes,Selecting a service|Entering details|Confirming the booking,Unclear,Relevant,Easy,Unclear,"Once I found the booking area, the steps themselves were short and the confirmation screen summarised everything neatly.","Finding the start was the hardest bit; the label ""Services"" wasn""t obvious. Put a clear ""Book appointment"" button at the top and show a one-screen privacy summary in plain English."
R003,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Clear,Irrelevant,Difficult,Very unclear,"The ""confirm"" step reassured me with a clear reference number and a visual tick, which felt professional.","Navigation back to change a time was confusing and reloaded the page. Keep my inputs when I go back, and make the calendar scroll less jumpy on small screens."
R004,Difficult,Easy,5-10 minutes,Selecting a service|Choosing a date/time|Reviewing information,Unclear,Very relevant,Easy,Unclear,"The health tips matched my profile reasonably well and images were sharp, which kept me engaged.","Some of the tip text was long and a bit technical. Add short summaries, use bullet points, and surface reading time so I can decide whether to open it."
R005,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details,Clear,Irrelevant,Difficult,Very unclear,Starting a booking was straightforward and I appreciated the large tap targets on mobile.,"The data-handling explanation felt like legalese. Provide a concise ""how we use your data"" box with icons, and allow guest checkout with optional account creation later."
R006,Difficult,Difficult,5-10 minutes,Selecting a service|Entering details|Confirming the booking,Very clear,Relevant,Easy,Unclear,"Buttons were easy to spot and the confirmation email arrived instantly, which gave me confidence that the booking was saved.","The forms asked for several fields without context. Add helper text near each input, distinguish optional from required, and reduce the number of steps."
R007,Easy,Easy,2-5 minutes,Choosing a date/time|Reviewing information,Clear,Relevant,Difficult,Unclear,"Time choice was quick and the review page matched what I""d entered, which reduced anxiety before confirming.","Oddly, getting back to the homepage was harder than it should be. Keep the top navigation fixed and add breadcrumbs so I always know where I am."
R008,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time,Unclear,Very irrelevant,Easy,Very unclear,"Once I reached the right page, the layout was clean and uncluttered.","The journey to get there was confusing with too many similarly named links. Simplify the menu labels and provide a ""Start here"" button on the homepage."
R009,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Relevant,Difficult,Unclear,The confirmation reference number was handy when I screenshotted it for my calendar.,"The back button reset earlier choices, which was frustrating. Preserve state across steps and add clearer error messages that tell me exactly what to fix."
R010,Difficult,Easy,2-5 minutes,Selecting a service|Reviewing information|Confirming the booking,Clear,Irrelevant,Easy,Unclear,"The last two steps felt quick, and the confirm button had good contrast.","It took too long to figure out where to begin. A single ""Book now"" entry point above the fold would remove the guesswork."
R011,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details,Unclear,Irrelevant,Easy,Very unclear,I liked the colour scheme; it looks trustworthy without shouting.,Calendar performance was poor on 4G and privacy wording was dense. Preload next/previous months and summarise privacy in a short panel with a link to the full policy.
R012,Easy,Difficult,5-10 minutes,Entering details|Reviewing information|Confirming the booking,Very clear,Relevant,Difficult,Unclear,"The review page matched my input exactly and the ""edit"" links worked.",Navigation buttons moved position between screens. Keep primary actions in a fixed place and add a step counter so progress feels tangible.
R013,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time,Clear,Irrelevant,Easy,Unclear,"Once in the flow, the date chooser responded quickly and the slot list was readable.","The service list used terms I wouldn""t expect. Add simple descriptions under each service and include examples."
R014,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details,Unclear,Relevant,Difficult,Unclear,"The fonts are clear and the tap targets are big, which reduced accidental taps.",The calendar sometimes jumped back a month. Keep the current position stable and allow typing a date as an alternative.
R015,Difficult,Easy,2-5 minutes,Reviewing information|Confirming the booking,Very clear,Relevant,Easy,Unclear,The confirmation felt reassuring and the ICS download was useful.,"Finding the booking flow from the homepage wasn""t intuitive. Put a prominent ""Start booking"" button and reduce link clutter in the header."
R016,Very difficult,Difficult,Over 10 minutes,Selecting a service|Entering details|Confirming the booking,Clear,Irrelevant,Difficult,Very unclear,The confirmation email contained the time and clinic clearly.,"Too many required fields without explanation. Show ""why we ask"" tooltips and allow address lookup instead of manual entry."
R017,Easy,Difficult,5-10 minutes,Choosing a date/time|Reviewing information,Unclear,Relevant,Difficult,Unclear,The review step allowed quick edits without losing progress.,"The calendar""s touch targets were small and close together. Increase spacing and support a list view of times for accessibility."
R018,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time|Confirming the booking,Very clear,Irrelevant,Easy,Unclear,The flow was short once started and the wording was plain.,The initial menu labels were ambiguous. Replace jargon with everyday terms and show a short intro panel the first time I open the app.
R019,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details|Confirming the booking,Clear,Relevant,Difficult,Very unclear,"I liked that the final screen recapped everything so I didn""t second-guess myself.",The data-handling text felt like fine print. Offer a 4-bullet summary with icons and a link to more detail.
R020,Difficult,Easy,2-5 minutes,Selecting a service|Reviewing information,Unclear,Irrelevant,Easy,Unclear,The review page visually grouped information well.,"The services page was visually dense. Add more spacing, section headings, and a quick filter."
R021,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Very relevant,Easy,Unclear,Some health tips felt spot on for me and used friendly examples.,The booking journey itself felt heavy. Reduce the number of screens and let me save progress if I need to step away.
R022,Easy,Difficult,5-10 minutes,Selecting a service|Entering details,Very clear,Relevant,Difficult,Unclear,Copy on the confirmation was in plain English and avoided medical jargon.,"Navigation hid when I scrolled, so I lost orientation. Keep a sticky header with a clear ""Home"" link."
R023,Difficult,Easy,2-5 minutes,Choosing a date/time|Reviewing information|Confirming the booking,Clear,Irrelevant,Easy,Unclear,The date chips were easy to tap and the confirm step was quick.,"The first screen didn""t tell me what would happen next. Add a short three-step overview at the start."
R024,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time,Unclear,Irrelevant,Easy,Very unclear,"Branding is calm and consistent, which helped a little.",The route to booking was circuitous. Add a start button above the fold and simplify the mega-menu.
R025,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details,Very clear,Relevant,Difficult,Unclear,I appreciated that the phone field accepted spaces and international formats.,"The calendar sometimes returned ""no slots"" without explanation. Show why, and suggest the nearest alternative clinic or time."
R026,Difficult,Easy,2-5 minutes,Selecting a service|Reviewing information,Clear,Irrelevant,Easy,Unclear,The review table made it simple to double-check details.,The service names were similar and I had to guess. Add short descriptions and an information icon beside each one.
R027,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Relevant,Difficult,Very unclear,I liked getting the reference number immediately.,"Data-handling language felt long and formal. Provide a concise summary with headings like ""What we collect"" and ""How long we keep it""."
R028,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time|Confirming the booking,Very clear,Irrelevant,Easy,Unclear,"The final page provided clear next steps, including how to reschedule.",The homepage carousel pushed booking links down. Remove the carousel or move it below primary actions.
R029,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Clear,Irrelevant,Difficult,Very unclear,The visual confirmation felt solid and gave me a sense of completion.,Going back to change one detail made me re-enter everything. Preserve inputs and provide inline validation hints.
R030,Easy,Difficult,5-10 minutes,Selecting a service|Reviewing information,Unclear,Very relevant,Difficult,Unclear,"Some tips hit the mark and felt written for ordinary readers, not clinicians.","Tips pages were long walls of text. Add headings, summaries, and an estimate of reading time."
R031,Difficult,Easy,2-5 minutes,Choosing a date/time|Confirming the booking,Very clear,Relevant,Easy,Unclear,The date list displayed soonest slots at the top which sped things up.,The entry page hid the booking call-to-action. Put it in the top section and reduce the number of competing links.
R032,Easy,Difficult,5-10 minutes,Entering details|Reviewing information|Confirming the booking,Clear,Irrelevant,Difficult,Very unclear,The review screen kept the important actions in the same place across devices.,The privacy statement needs a plain-language rewrite and a short summary card before the full policy.
R033,Very difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time,Very clear,Relevant,Difficult,Unclear,"Once I reached the calendar, picking a slot was fast and obvious.",I circled the homepage a few times first. Provide a single start button and shrink secondary content.
R034,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details,Unclear,Irrelevant,Easy,Unclear,The typography made long labels readable even on a small screen.,The date picker was sensitive to minor swipes. Increase tap areas and include a manual date entry option.
R035,Difficult,Easy,2-5 minutes,Reviewing information|Confirming the booking,Very clear,Relevant,Difficult,Unclear,The confirmation gave me a calendar file which I appreciated.,The earlier screens stacked too much information. Break content into shorter screens and use collapsible sections.
R036,Very difficult,Difficult,Over 10 minutes,Selecting a service|Entering details|Confirming the booking,Unclear,Irrelevant,Easy,Very unclear,Colour contrast is good; headings are legible.,The journey to start a booking felt obscure. Simplify the navigation and reduce the number of clicks to get going.
R037,Easy,Difficult,5-10 minutes,Choosing a date/time|Reviewing information,Clear,Relevant,Difficult,Unclear,The final summary table was tidy and shareable.,Navigation disappeared while scrolling. Keep a sticky header and add a breadcrumb trail.
R038,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time|Confirming the booking,Very clear,Irrelevant,Easy,Unclear,The steps were short and used familiar words once I started.,The services list was long and ungrouped. Add categories and a search field.
R039,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Relevant,Difficult,Very unclear,I liked the confidence of the final confirmation screen.,"The privacy copy was heavy. Use icons and headings to summarise key points, with the full policy behind a link."
R040,Difficult,Easy,2-5 minutes,Selecting a service|Reviewing information,Very clear,Irrelevant,Easy,Unclear,"The ""edit"" links worked perfectly without losing context.","The label ""service"" could be clearer. Use everyday language and examples like ""flu jab"", ""check-up"" etc."
R041,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Clear,Relevant,Difficult,Very unclear,Some tips gave practical examples I could act on immediately.,Switching months lagged and sometimes returned to the start. Preload nearby months and keep my place on return.
R042,Easy,Difficult,5-10 minutes,Selecting a service|Entering details,Unclear,Irrelevant,Easy,Unclear,"The layout felt modern and consistent, which reduced guesswork.",Form validation only showed after submit. Provide inline hints and accept common phone number formats.
R043,Difficult,Easy,2-5 minutes,Choosing a date/time|Confirming the booking,Very clear,Relevant,Difficult,Unclear,"The end-to-end process was short once I found it, and the outputs were clear.",The homepage contained too many competing items. Prioritise the booking journey and demote non-essential content.
R044,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time,Unclear,Irrelevant,Easy,Very unclear,The high-contrast buttons helped once I was in the flow.,"The starting route was not obvious and required guesswork. Provide a guided ""First time? Start here"" card."
R045,Easy,Difficult,5-10 minutes,Entering details|Reviewing information|Confirming the booking,Clear,Irrelevant,Difficult,Unclear,"The confirmation included next steps like ""how to reschedule"", which I liked.",Field order felt random. Group related items and reduce the total number of required fields.
R046,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time|Confirming the booking,Very clear,Relevant,Easy,Unclear,The slot list was concise and easy to compare.,The service names felt technical. Add layperson descriptions and example scenarios to guide selection.
R047,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Relevant,Difficult,Very unclear,Emails landed instantly and were formatted clearly for mobile.,"The back button wiped entries. Keep state between screens and add a ""save and finish later"" option."
R048,Easy,Difficult,5-10 minutes,Selecting a service|Reviewing information,Clear,Irrelevant,Easy,Unclear,I could review and correct details without losing my progress.,"Earlier screens crammed too much text. Use headings, bullets, and white space to make it scannable."
R049,Difficult,Easy,2-5 minutes,Choosing a date/time|Confirming the booking,Very clear,Very relevant,Difficult,Unclear,Some tailored tips were useful and used plain English.,"The initial journey isn""t obvious. An onboarding overlay with three short pointers would help first-time users."
R050,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Irrelevant,Easy,Very unclear,The confirmation step felt polished and gave me confidence.,"Privacy language felt intimidating. Offer a short, readable version with key points and a toggle to expand details."
R051,Very difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time,Clear,Relevant,Difficult,Unclear,"Once I reached the calendar, the rest was smooth and quick.","The path to get there was confusing. Reduce menu depth and add a persistent ""Book now"" button."
R052,Easy,Difficult,5-10 minutes,Entering details|Reviewing information,Unclear,Irrelevant,Easy,Unclear,"The form inputs handled copy/paste well, which sped things up.",Explain why certain fields are required and collapse advanced options behind a disclosure control.
R053,Difficult,Easy,2-5 minutes,Selecting a service|Confirming the booking,Very clear,Relevant,Difficult,Very unclear,The end was straightforward and I liked the clean summary.,The privacy text read like a contract. Provide a human-readable overview with links to deeper content.
R054,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Clear,Irrelevant,Easy,Unclear,The visual design is calm and professional.,Scrolling journey was long and I lost track. Add a visible step indicator and shorten each screen.
R055,Easy,Difficult,5-10 minutes,Selecting a service|Choosing a date/time|Entering details,Unclear,Relevant,Difficult,Unclear,Action buttons had good colour contrast which helped on a sunny day.,The calendar sometimes returned empty results. Offer alternative locations or dates automatically.
R056,Difficult,Easy,2-5 minutes,Reviewing information|Confirming the booking,Very clear,Irrelevant,Easy,Very unclear,The final screen provided exactly what I needed to store the appointment.,The privacy policy needs a short version. Add clear headings and bullet points at the top.
R057,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time,Unclear,Relevant,Difficult,Unclear,I appreciated the accessible font size; nothing felt tiny.,"Finding the flow was the worst bit. Make ""Book"" the primary action and move news/promos lower down."
R058,Easy,Difficult,5-10 minutes,Entering details|Reviewing information|Confirming the booking,Clear,Irrelevant,Difficult,Unclear,The review/confirm steps were quick and I liked the ICS file download.,"Earlier, error messages were vague. Explain exactly what format a field needs and validate as I type."
R059,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time|Confirming the booking,Very clear,Relevant,Easy,Unclear,"The slot picker was intuitive and the confirm step didn""t waste time.",The services screen felt like a wall of text. Use categories and short descriptions.
R060,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Clear,Irrelevant,Difficult,Very unclear,The final confirmation looked professional and clear.,The middle of the journey was slow and repetitive. Reduce data entry and allow postcode lookup for address.
R061,Easy,Difficult,5-10 minutes,Selecting a service|Entering details,Unclear,Relevant,Easy,Unclear,I liked that field labels stayed visible while typing.,"The order of questions wasn""t logical. Group personal details and move optional items later."
R062,Difficult,Easy,2-5 minutes,Choosing a date/time|Confirming the booking,Very clear,Irrelevant,Difficult,Unclear,The last steps were efficient and predictable.,"The first step didn""t set expectations. Add a simple ""1. Choose time 2. Enter details 3. Confirm"" banner."
R063,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time|Entering details,Unclear,Relevant,Easy,Very unclear,The bottom navigation was easy to use once I found the flow.,The route into booking felt hidden. Promote it prominently and trim secondary links.
R064,Easy,Difficult,5-10 minutes,Reviewing information|Confirming the booking,Very clear,Irrelevant,Difficult,Unclear,The confirm screen let me download details for my calendar.,"Earlier, I struggled to understand unfamiliar service titles. Provide examples and short helper text."
R065,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time|Confirming the booking,Clear,Very relevant,Easy,Unclear,"Some tips were practical and short, with plain language I""d actually follow.",The main menu still felt busy. Reduce the number of items and keep critical ones fixed.
R066,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Very clear,Irrelevant,Difficult,Very unclear,The email receipt was neat and immediate.,"Too many steps and the back button reset entries. Preserve state and allow ""save for later""."
R067,Easy,Difficult,5-10 minutes,Selecting a service|Entering details,Unclear,Relevant,Easy,Unclear,Text size and spacing were comfortable for longer labels.,"Some required fields weren""t marked. Use asterisks and brief explanations for why data is requested."
R068,Difficult,Easy,2-5 minutes,Choosing a date/time|Reviewing information,Very clear,Irrelevant,Difficult,Unclear,The time list was compact and scrollable without accidental taps.,Navigation controls changed position between screens. Keep action buttons consistent.
R069,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time|Entering details,Unclear,Relevant,Easy,Very unclear,"Once in the calendar, the layout was straightforward.","Getting there was the issue. Provide a clear ""Start booking"" button and reduce duplicate pathways."
R070,Easy,Difficult,5-10 minutes,Entering details|Confirming the booking,Clear,Irrelevant,Difficult,Unclear,The confirm step made it obvious what would happen next.,Forms were long and repetitive. Collapse non-essential fields and add autofill where possible.
R071,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time,Very clear,Relevant,Easy,Unclear,The slot picker worked well and I liked the clear wording.,"The homepage didn""t guide me. Add a first-time overlay that points to the booking action."
R072,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Irrelevant,Difficult,Very unclear,Visual style is consistent and calm.,Scrolling was heavy and I lost orientation. Use a visible stepper and reduce copy.
R073,Easy,Difficult,5-10 minutes,Selecting a service|Reviewing information,Very clear,Relevant,Difficult,Unclear,I appreciated that edits were easy on the review page.,"Earlier, validation messages were late. Provide real-time hints and accept common formats (e.g., spaces in phone numbers)."
R074,Difficult,Easy,2-5 minutes,Choosing a date/time|Confirming the booking,Clear,Irrelevant,Easy,Unclear,The tail end of the journey was quick and satisfying.,Service names were technical. Add a sentence of plain English under each option.
R075,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time|Entering details,Clear,Relevant,Difficult,Very unclear,The confirmation step restored some confidence.,The journey to that point felt slow with too many required fields. Reduce friction and save progress automatically.
R076,Easy,Difficult,5-10 minutes,Entering details|Reviewing information|Confirming the booking,Unclear,Irrelevant,Easy,Unclear,The final page had exactly the information I needed to double-check details.,"Earlier, the field order didn""t match how I think. Group by topic and show estimated time remaining."
R077,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time,Very clear,Relevant,Difficult,Unclear,"Once I started, the copy was friendly and clear.","Navigation controls weren""t in the same place between steps. Keep action buttons consistent and prominent."
R078,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Irrelevant,Easy,Very unclear,The high-contrast buttons worked well outdoors.,"The initial route to booking was murky. Provide a single, prominent entry point and reduce competing links."
R079,Easy,Difficult,5-10 minutes,Selecting a service|Entering details,Clear,Relevant,Difficult,Unclear,The labels were readable and not crammed together.,"The calendar required too many taps to see more days. Add a list view and a ""next available"" shortcut."
R080,Difficult,Easy,2-5 minutes,Choosing a date/time|Confirming the booking,Very clear,Irrelevant,Easy,Unclear,The confirmation screen was short and actionable.,Earlier descriptions felt vague. Use examples for each service type and add a help icon.
R081,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time|Entering details,Clear,Relevant,Difficult,Very unclear,Email confirmation was instant and easy to file.,The privacy statement needs an at-a-glance overview. Add headings and icons and keep the legal detail behind a link.
R082,Easy,Difficult,5-10 minutes,Reviewing information|Confirming the booking,Unclear,Irrelevant,Easy,Unclear,The final layout was clean and predictable.,"Errors appeared only after submit. Validate live and provide examples (e.g., ""07123 456789"")."
R083,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time,Very clear,Relevant,Difficult,Unclear,"The calendar shortcuts to ""today"" and ""tomorrow"" helped.",The homepage layout hid the key action. Move booking to the top and reduce card clutter.
R084,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Irrelevant,Easy,Very unclear,The colour palette is pleasant and not clinical.,"The journey felt like trial and error at first. Provide a simple ""Start here"" and reduce menu duplication."
R085,Easy,Difficult,5-10 minutes,Selecting a service|Entering details|Confirming the booking,Clear,Relevant,Difficult,Unclear,I liked how the final screen offered reschedule guidance.,"The address field didn""t accept my postcode format. Support common UK formats and add postcode lookup."
R086,Difficult,Easy,2-5 minutes,Choosing a date/time|Reviewing information,Very clear,Irrelevant,Easy,Unclear,Short steps with clear buttons made the end smooth.,The services page felt dense. Add sub-headings and a search.
R087,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time|Entering details,Clear,Relevant,Difficult,Very unclear,"The confirmation gave me confidence I hadn""t made a mistake.","The mid-flow screens asked a lot without context. Add short ""why we ask"" notes and show progress."
R088,Easy,Difficult,5-10 minutes,Entering details|Confirming the booking,Unclear,Irrelevant,Easy,Unclear,I could tap through the end quickly; buttons were consistent.,"Earlier, I wasn""t sure what to do next. Add a three-step overview before I begin."
R089,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time,Very clear,Very relevant,Difficult,Unclear,The tips on healthy routines were bite-sized and practical.,The starting route needs clarity. Place booking at the top and collapse non-critical content.
R090,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Irrelevant,Easy,Very unclear,Typography is accessible and consistent across pages.,Calendar performance needs work and privacy wording should be simplified with an at-a-glance panel.
R091,Easy,Difficult,5-10 minutes,Selecting a service|Reviewing information|Confirming the booking,Clear,Relevant,Difficult,Unclear,The final step was reassuring and quick.,"The earlier journey had too many fields. Mark optional items, remove duplicates, and allow autofill."
R092,Difficult,Easy,2-5 minutes,Choosing a date/time|Confirming the booking,Very clear,Irrelevant,Easy,Unclear,"The slot list prioritised soonest times, which helped.","It still took a while to discover where to start. Add a large ""Book now"" button visible on first load."
R093,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time|Entering details,Clear,Relevant,Difficult,Very unclear,Confirmation email subject line was clear and easy to search later.,Back navigation caused resets. Persist inputs and add inline validation to cut retries.
R094,Easy,Difficult,5-10 minutes,Entering details|Reviewing information,Unclear,Irrelevant,Easy,Unclear,Readable labels and steady button placement reduced errors.,Some field names were ambiguous. Provide short examples and mark required items clearly.
R095,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time|Confirming the booking,Very clear,Relevant,Difficult,Unclear,I appreciated the straightforward copy near the confirm button.,The homepage hierarchy was muddled. Move booking to the top and trim non-essential cards.
R096,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Irrelevant,Easy,Very unclear,The final screen looked trustworthy and complete.,"The earlier path was slow and confusing. Use a fixed header, a stepper, and fewer required fields."
R097,Easy,Difficult,5-10 minutes,Selecting a service|Entering details,Clear,Relevant,Difficult,Unclear,I liked the clear spacing and that I could review before confirming.,Error messages lacked specific guidance. Tell me the format expected and highlight the field.
R098,Difficult,Easy,2-5 minutes,Choosing a date/time|Confirming the booking,Very clear,Irrelevant,Easy,Unclear,Picking a time felt efficient and obvious.,"The first screen didn""t set expectations. Show a short overview and keep CTAs in a consistent position."
R099,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time|Entering details,Clear,Relevant,Difficult,Very unclear,Some tips were practical and reassuring without being preachy.,The journey into booking was obscure. Add a prominent entry point and reduce menu items.
R100,Easy,Difficult,5-10 minutes,Reviewing information|Confirming the booking,Unclear,Irrelevant,Easy,Unclear,The last step was smooth and I liked the ICS download option.,"The service list is long and repetitive. Group similar items, provide short descriptions, and add search."
