ID,Q1_FindBooking,Q2_BookingProcess,Q3_Time,Q4_StepsInteractedWith,Q5_TipsClarity,Q6_TipsRelevance,Q7_Navigation,Q8_DataHandlingClarity,Q9_WorkedWell,Q10_Improvements,Codes,Theme,,,
R001,Easy,Difficult,5-10 minutes,Selecting a service|Choosing a date/time|Entering details,Clear,Irrelevant,Difficult,Unclear,"The homepage made sense and the main call-to-action stood out, so I could start quickly. I liked the consistent colours and that buttons felt responsive on my phone.","Once in the flow, the calendar felt fiddly and I kept losing my place. Shorten the forms, add a simple progress bar, and explain briefly why each personal detail is needed.","Clarity, Progress, Efficiency, Trust",Ease of Use,,,
R002,Difficult,Easy,2-5 minutes,Selecting a service|Entering details|Confirming the booking,Unclear,Relevant,Easy,Unclear,"Once I found the booking area, the steps themselves were short and the confirmation screen summarised everything neatly.","Finding the start was the hardest bit; the label ""Services"" wasn""t obvious. Put a clear ""Book appointment"" button at the top and show a one-screen privacy summary in plain English.","Visibility, Hierarchy, Clarity, Trust",Ease of Use,,,
R003,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Clear,Irrelevant,Difficult,Very unclear,"The ""confirm"" step reassured me with a clear reference number and a visual tick, which felt professional.","Navigation back to change a time was confusing and reloaded the page. Keep my inputs when I go back, and make the calendar scroll less jumpy on small screens.","Consistency, Navigation, Feedback",Ease of Use,,,
R004,Difficult,Easy,5-10 minutes,Selecting a service|Choosing a date/time|Reviewing information,Unclear,Very relevant,Easy,Unclear,"The health tips matched my profile reasonably well and images were sharp, which kept me engaged.","Some of the tip text was long and a bit technical. Add short summaries, use bullet points, and surface reading time so I can decide whether to open it.","Clarity, Simplicity, Readability",Trust & Understanding,,49,Ease of Use
R005,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details,Clear,Irrelevant,Difficult,Very unclear,Starting a booking was straightforward and I appreciated the large tap targets on mobile.,"The data-handling explanation felt like legalese. Provide a concise ""how we use your data"" box with icons, and allow guest checkout with optional account creation later.","Trust, Clarity, Accessibility",Ease of Use,,36,Trust & Understanding
R006,Difficult,Difficult,5-10 minutes,Selecting a service|Entering details|Confirming the booking,Very clear,Relevant,Easy,Unclear,"Buttons were easy to spot and the confirmation email arrived instantly, which gave me confidence that the booking was saved.","The forms asked for several fields without context. Add helper text near each input, distinguish optional from required, and reduce the number of steps.","Clarity, Context, Efficiency",Ease of Use,,15,Performance & Reliability
R007,Easy,Easy,2-5 minutes,Choosing a date/time|Reviewing information,Clear,Relevant,Difficult,Unclear,"Time choice was quick and the review page matched what I""d entered, which reduced anxiety before confirming.","Oddly, getting back to the homepage was harder than it should be. Keep the top navigation fixed and add breadcrumbs so I always know where I am.","Navigation, Visibility, Orientation",Trust & Understanding,,,
R008,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time,Unclear,Very irrelevant,Easy,Very unclear,"Once I reached the right page, the layout was clean and uncluttered.","The journey to get there was confusing with too many similarly named links. Simplify the menu labels and provide a ""Start here"" button on the homepage.","Hierarchy, Navigation, Simplicity",Trust & Understanding,,,
R009,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Relevant,Difficult,Unclear,The confirmation reference number was handy when I screenshotted it for my calendar.,"The back button reset earlier choices, which was frustrating. Preserve state across steps and add clearer error messages that tell me exactly what to fix.","Consistency, Feedback, ErrorHandling",Ease of Use,,,
R010,Difficult,Easy,2-5 minutes,Selecting a service|Reviewing information|Confirming the booking,Clear,Irrelevant,Easy,Unclear,"The last two steps felt quick, and the confirm button had good contrast.","It took too long to figure out where to begin. A single ""Book now"" entry point above the fold would remove the guesswork.","Visibility, Hierarchy, Navigation",Ease of Use,,,
R011,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details,Unclear,Irrelevant,Easy,Very unclear,I liked the colour scheme; it looks trustworthy without shouting.,Calendar performance was poor on 4G and privacy wording was dense. Preload next/previous months and summarise privacy in a short panel with a link to the full policy.,"Performance, Trust, Clarity",Performance & Reliability,,,
R012,Easy,Difficult,5-10 minutes,Entering details|Reviewing information|Confirming the booking,Very clear,Relevant,Difficult,Unclear,"The review page matched my input exactly and the ""edit"" links worked.",Navigation buttons moved position between screens. Keep primary actions in a fixed place and add a step counter so progress feels tangible.,"Consistency, Progress, Orientation",Ease of Use,,,
R013,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time,Clear,Irrelevant,Easy,Unclear,"Once in the flow, the date chooser responded quickly and the slot list was readable.","The service list used terms I wouldn""t expect. Add simple descriptions under each service and include examples.","Clarity, Readability, Guidance",Ease of Use,,,
R014,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details,Unclear,Relevant,Difficult,Unclear,"The fonts are clear and the tap targets are big, which reduced accidental taps.",The calendar sometimes jumped back a month. Keep the current position stable and allow typing a date as an alternative.,"Consistency, Navigation, Stability",Ease of Use,,,
R015,Difficult,Easy,2-5 minutes,Reviewing information|Confirming the booking,Very clear,Relevant,Easy,Unclear,The confirmation felt reassuring and the ICS download was useful.,"Finding the booking flow from the homepage wasn""t intuitive. Put a prominent ""Start booking"" button and reduce link clutter in the header.","Visibility, Hierarchy, Navigation",Trust & Understanding,,,
R016,Very difficult,Difficult,Over 10 minutes,Selecting a service|Entering details|Confirming the booking,Clear,Irrelevant,Difficult,Very unclear,The confirmation email contained the time and clinic clearly.,"Too many required fields without explanation. Show ""why we ask"" tooltips and allow address lookup instead of manual entry.","Clarity, Trust, Context",Performance & Reliability,,,
R017,Easy,Difficult,5-10 minutes,Choosing a date/time|Reviewing information,Unclear,Relevant,Difficult,Unclear,The review step allowed quick edits without losing progress.,"The calendar""s touch targets were small and close together. Increase spacing and support a list view of times for accessibility.","Accessibility, Usability, TouchTargets",Ease of Use,,,
R018,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time|Confirming the booking,Very clear,Irrelevant,Easy,Unclear,The flow was short once started and the wording was plain.,The initial menu labels were ambiguous. Replace jargon with everyday terms and show a short intro panel the first time I open the app.,"Clarity, Readability, Onboarding",Ease of Use,,,
R019,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details|Confirming the booking,Clear,Relevant,Difficult,Very unclear,"I liked that the final screen recapped everything so I didn""t second-guess myself.",The data-handling text felt like fine print. Offer a 4-bullet summary with icons and a link to more detail.,"Trust, Clarity, Transparency",Ease of Use,,,
R020,Difficult,Easy,2-5 minutes,Selecting a service|Reviewing information,Unclear,Irrelevant,Easy,Unclear,The review page visually grouped information well.,"The services page was visually dense. Add more spacing, section headings, and a quick filter.","Readability, Hierarchy, Density",Trust & Understanding,,,
R021,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Very relevant,Easy,Unclear,Some health tips felt spot on for me and used friendly examples.,The booking journey itself felt heavy. Reduce the number of screens and let me save progress if I need to step away.,"Efficiency, Simplicity, Flow",Trust & Understanding,,,
R022,Easy,Difficult,5-10 minutes,Selecting a service|Entering details,Very clear,Relevant,Difficult,Unclear,Copy on the confirmation was in plain English and avoided medical jargon.,"Navigation hid when I scrolled, so I lost orientation. Keep a sticky header with a clear ""Home"" link.","Visibility, Orientation, Navigation",Trust & Understanding,,,
R023,Difficult,Easy,2-5 minutes,Choosing a date/time|Reviewing information|Confirming the booking,Clear,Irrelevant,Easy,Unclear,The date chips were easy to tap and the confirm step was quick.,"The first screen didn""t tell me what would happen next. Add a short three-step overview at the start.","Clarity, Guidance, Expectations",Ease of Use,,,
R024,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time,Unclear,Irrelevant,Easy,Very unclear,"Branding is calm and consistent, which helped a little.",The route to booking was circuitous. Add a start button above the fold and simplify the mega-menu.,"Visibility, Hierarchy, Navigation",Ease of Use,,,
R025,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details,Very clear,Relevant,Difficult,Unclear,I appreciated that the phone field accepted spaces and international formats.,"The calendar sometimes returned ""no slots"" without explanation. Show why, and suggest the nearest alternative clinic or time.","Feedback, Trust, Transparency",Ease of Use,,,
R026,Difficult,Easy,2-5 minutes,Selecting a service|Reviewing information,Clear,Irrelevant,Easy,Unclear,The review table made it simple to double-check details.,The service names were similar and I had to guess. Add short descriptions and an information icon beside each one.,"Clarity, Readability, Guidance",Performance & Reliability,,,
R027,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Relevant,Difficult,Very unclear,I liked getting the reference number immediately.,"Data-handling language felt long and formal. Provide a concise summary with headings like ""What we collect"" and ""How long we keep it"".","Trust, Transparency, Clarity",Trust & Understanding,,,
R028,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time|Confirming the booking,Very clear,Irrelevant,Easy,Unclear,"The final page provided clear next steps, including how to reschedule.",The homepage carousel pushed booking links down. Remove the carousel or move it below primary actions.,"Hierarchy, Visibility, Priority",Ease of Use,,,
R029,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Clear,Irrelevant,Difficult,Very unclear,The visual confirmation felt solid and gave me a sense of completion.,Going back to change one detail made me re-enter everything. Preserve inputs and provide inline validation hints.,"Consistency, Feedback, Stability",Trust & Understanding,,,
R030,Easy,Difficult,5-10 minutes,Selecting a service|Reviewing information,Unclear,Very relevant,Difficult,Unclear,"Some tips hit the mark and felt written for ordinary readers, not clinicians.","Tips pages were long walls of text. Add headings, summaries, and an estimate of reading time.","Readability, Structure, Clarity",Trust & Understanding,,,
R031,Difficult,Easy,2-5 minutes,Choosing a date/time|Confirming the booking,Very clear,Relevant,Easy,Unclear,The date list displayed soonest slots at the top which sped things up.,The entry page hid the booking call-to-action. Put it in the top section and reduce the number of competing links.,"Visibility, Hierarchy, Priority",Ease of Use,,,
R032,Easy,Difficult,5-10 minutes,Entering details|Reviewing information|Confirming the booking,Clear,Irrelevant,Difficult,Very unclear,The review screen kept the important actions in the same place across devices.,The privacy statement needs a plain-language rewrite and a short summary card before the full policy.,"Visibility, Hierarchy, Navigation",Ease of Use,,,
R033,Very difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time,Very clear,Relevant,Difficult,Unclear,"Once I reached the calendar, picking a slot was fast and obvious.",I circled the homepage a few times first. Provide a single start button and shrink secondary content.,"Accessibility, Usability, TouchTargets",Trust & Understanding,,,
R034,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details,Unclear,Irrelevant,Easy,Unclear,The typography made long labels readable even on a small screen.,The date picker was sensitive to minor swipes. Increase tap areas and include a manual date entry option.,"Readability, Structure, Clarity",Ease of Use,,,
R035,Difficult,Easy,2-5 minutes,Reviewing information|Confirming the booking,Very clear,Relevant,Difficult,Unclear,The confirmation gave me a calendar file which I appreciated.,The earlier screens stacked too much information. Break content into shorter screens and use collapsible sections.,"Navigation, Simplicity, Efficiency",Performance & Reliability,,,
R036,Very difficult,Difficult,Over 10 minutes,Selecting a service|Entering details|Confirming the booking,Unclear,Irrelevant,Easy,Very unclear,Colour contrast is good; headings are legible.,The journey to start a booking felt obscure. Simplify the navigation and reduce the number of clicks to get going.,"Consistency, Orientation, Navigation",Trust & Understanding,,,
R037,Easy,Difficult,5-10 minutes,Choosing a date/time|Reviewing information,Clear,Relevant,Difficult,Unclear,The final summary table was tidy and shareable.,Navigation disappeared while scrolling. Keep a sticky header and add a breadcrumb trail.,"Structure, Organisation, Navigation",Ease of Use,,,
R038,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time|Confirming the booking,Very clear,Irrelevant,Easy,Unclear,The steps were short and used familiar words once I started.,The services list was long and ungrouped. Add categories and a search field.,"Trust, Transparency, Readability",Ease of Use,,,
R039,Easy,Difficult,5-10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Relevant,Difficult,Very unclear,I liked the confidence of the final confirmation screen.,"The privacy copy was heavy. Use icons and headings to summarise key points, with the full policy behind a link.","Clarity, Readability, Guidance",Ease of Use,,,
R040,Difficult,Easy,2-5 minutes,Selecting a service|Reviewing information,Very clear,Irrelevant,Easy,Unclear,"The ""edit"" links worked perfectly without losing context.","The label ""service"" could be clearer. Use everyday language and examples like ""flu jab"", ""check-up"" etc.","Performance, Consistency, Stability",Trust & Understanding,,,
R041,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Clear,Relevant,Difficult,Very unclear,Some tips gave practical examples I could act on immediately.,Switching months lagged and sometimes returned to the start. Preload nearby months and keep my place on return.,"Feedback, Validation, Clarity",Trust & Understanding,,,
R042,Easy,Difficult,5-10 minutes,Selecting a service|Entering details,Unclear,Irrelevant,Easy,Unclear,"The layout felt modern and consistent, which reduced guesswork.",Form validation only showed after submit. Provide inline hints and accept common phone number formats.,"Hierarchy, Priority, Simplicity",Ease of Use,,,
R043,Difficult,Easy,2-5 minutes,Choosing a date/time|Confirming the booking,Very clear,Relevant,Difficult,Unclear,"The end-to-end process was short once I found it, and the outputs were clear.",The homepage contained too many competing items. Prioritise the booking journey and demote non-essential content.,"Guidance, Visibility, Onboarding",Ease of Use,,,
R044,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time,Unclear,Irrelevant,Easy,Very unclear,The high-contrast buttons helped once I was in the flow.,"The starting route was not obvious and required guesswork. Provide a guided ""First time? Start here"" card.","Organisation, Structure, Efficiency",Performance & Reliability,,,
R045,Easy,Difficult,5-10 minutes,Entering details|Reviewing information|Confirming the booking,Clear,Irrelevant,Difficult,Unclear,"The confirmation included next steps like ""how to reschedule"", which I liked.",Field order felt random. Group related items and reduce the total number of required fields.,"Clarity, Readability, Guidance",Trust & Understanding,,,
R046,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time|Confirming the booking,Very clear,Relevant,Easy,Unclear,The slot list was concise and easy to compare.,The service names felt technical. Add layperson descriptions and example scenarios to guide selection.,"Consistency, Stability, Feedback",Ease of Use,,,
